Time (s),Message Name,Arbitration ID,Signals
2.934533,MM5_10_TX2_178,0x178,"{'PSIP3': 0.0, 'CLU_STAT5': 0, 'PSIP3_STAT': 0, 'CLU_DIAG': 0, 'AX1': 0.039232339999999866, 'MSG_CNT_TX2': 5, 'AX1_STAT': 0, 'CRC_TX2': 104}"
2.934731,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0060543649999998, 'MSG_CNT_TX3': 5, 'AZ_STAT': 0, 'CRC_TX3': 192}"
2.944595,MM5_10_TX1_174,0x174,"{'PSIP1': 0.03999999999999204, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.023681609999999687, 'MSG_CNT_TX1': 6, 'AY1_STAT': 0, 'CRC_TX1': 24}"
2.944898,MM5_10_TX2_178,0x178,"{'PSIP3': -0.030000000000001137, 'CLU_STAT5': 1, 'PSIP3_STAT': 0, 'CLU_DIAG': 6, 'AX1': 0.03783022499999955, 'MSG_CNT_TX2': 6, 'AX1_STAT': 0, 'CRC_TX2': 25}"
2.945137,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0028677400000001, 'MSG_CNT_TX3': 6, 'AZ_STAT': 0, 'CRC_TX3': 52}"
2.953677,MM5_10_TX1_174,0x174,"{'PSIP1': 0.05500000000000682, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021897100000000336, 'MSG_CNT_TX1': 7, 'AY1_STAT': 0, 'CRC_TX1': 255}"
2.953928,MM5_10_TX2_178,0x178,"{'PSIP3': -0.11000000000001364, 'CLU_STAT5': 2, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.03719289999999997, 'MSG_CNT_TX2': 7, 'AX1_STAT': 0, 'CRC_TX2': 165}"
2.954124,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0028677400000001, 'MSG_CNT_TX3': 7, 'AZ_STAT': 0, 'CRC_TX3': 41}"
2.964030,MM5_10_TX1_174,0x174,"{'PSIP1': 0.06999999999999318, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.019857659999999555, 'MSG_CNT_TX1': 8, 'AY1_STAT': 0, 'CRC_TX1': 88}"
2.964277,MM5_10_TX2_178,0x178,"{'PSIP3': -0.21000000000000796, 'CLU_STAT5': 3, 'PSIP3_STAT': 0, 'CLU_DIAG': 35, 'AX1': 0.03795768999999982, 'MSG_CNT_TX2': 8, 'AX1_STAT': 0, 'CRC_TX2': 170}"
2.964474,MM5_10_TX3_17C,0x17c,"{'AZ': 1.004014925, 'MSG_CNT_TX3': 8, 'AZ_STAT': 0, 'CRC_TX3': 89}"
2.974399,MM5_10_TX1_174,0x174,"{'PSIP1': 0.09999999999999432, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.019857659999999555, 'MSG_CNT_TX1': 9, 'AY1_STAT': 0, 'CRC_TX1': 148}"
2.974644,MM5_10_TX2_178,0x178,"{'PSIP3': -0.25, 'CLU_STAT5': 4, 'PSIP3_STAT': 0, 'CLU_DIAG': 39, 'AX1': 0.038340084999999746, 'MSG_CNT_TX2': 9, 'AX1_STAT': 0, 'CRC_TX2': 19}"
2.974840,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0026128099999996, 'MSG_CNT_TX3': 9, 'AZ_STAT': 0, 'CRC_TX3': 138}"
2.984793,MM5_10_TX1_174,0x174,"{'PSIP1': 0.09999999999999432, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.021642169999999794, 'MSG_CNT_TX1': 10, 'AY1_STAT': 0, 'CRC_TX1': 158}"
2.985059,MM5_10_TX2_178,0x178,"{'PSIP3': -0.21000000000000796, 'CLU_STAT5': 5, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.03744782999999963, 'MSG_CNT_TX2': 10, 'AX1_STAT': 0, 'CRC_TX2': 65}"
2.985263,MM5_10_TX3_17C,0x17c,"{'AZ': 0.9998085799999998, 'MSG_CNT_TX3': 10, 'AZ_STAT': 0, 'CRC_TX3': 188}"
2.993923,MM5_10_TX1_174,0x174,"{'PSIP1': 0.09999999999999432, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.022916819999999838, 'MSG_CNT_TX1': 11, 'AY1_STAT': 0, 'CRC_TX1': 146}"
2.994183,MM5_10_TX2_178,0x178,"{'PSIP3': -0.15500000000000114, 'CLU_STAT5': 6, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.03655557499999951, 'MSG_CNT_TX2': 11, 'AX1_STAT': 0, 'CRC_TX2': 17}"
2.994366,MM5_10_TX3_17C,0x17c,"{'AZ': 0.9976416749999997, 'MSG_CNT_TX3': 11, 'AZ_STAT': 0, 'CRC_TX3': 3}"
3.004276,MM5_10_TX1_174,0x174,"{'PSIP1': 0.09999999999999432, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.02202456499999972, 'MSG_CNT_TX1': 12, 'AY1_STAT': 0, 'CRC_TX1': 90}"
3.004521,MM5_10_TX2_178,0x178,"{'PSIP3': -0.125, 'CLU_STAT5': 7, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.03681050500000005, 'MSG_CNT_TX2': 12, 'AX1_STAT': 0, 'CRC_TX2': 218}"
3.004717,MM5_10_TX3_17C,0x17c,"{'AZ': 0.9980240699999996, 'MSG_CNT_TX3': 12, 'AZ_STAT': 0, 'CRC_TX3': 217}"
3.014671,MM5_10_TX1_174,0x174,"{'PSIP1': 0.09999999999999432, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.0211323099999996, 'MSG_CNT_TX1': 13, 'AY1_STAT': 0, 'CRC_TX1': 199}"
3.014936,MM5_10_TX2_178,0x178,"{'PSIP3': -0.13999999999998636, 'CLU_STAT5': 8, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.03783022499999955, 'MSG_CNT_TX2': 13, 'AX1_STAT': 0, 'CRC_TX2': 80}"
3.015140,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0010832299999999, 'MSG_CNT_TX3': 13, 'AZ_STAT': 0, 'CRC_TX3': 224}"
